[2026-02-03 16:51:23] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:51:28] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:51:28] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:53:42] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:53:42] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:55:59] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:55:59] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:00] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:00] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:00] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:00] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:01] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:01] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:01] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:01] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:02] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:02] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:02] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:02] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:02] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:02] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:03] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:03] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:04] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:04] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:04] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:04] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:05] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:05] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:06] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:56:06] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:56:06] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
